channel_id,group,type,drs_name,notes,Physical,l2_board,fers_board,fers_root_board,,DRS_ROOT_Bridge_Mapping,MCP,
586,outer,Quartz,DRS_Board5_Group4_Channel2,,19,108,4,5,,DRS_Bridge1_Board2_Group3_Channel2,,
585,outer,Quartz,DRS_Board5_Group4_Channel3,,20,108,4,5,,DRS_Bridge1_Board2_Group3_Channel3,,
644,outer,Quartz,DRS_Board5_Group4_Channel4,,25,108,4,5,,DRS_Bridge1_Board2_Group3_Channel4,,
643,outer,Quartz,DRS_Board5_Group4_Channel5,,26,108,4,5,,DRS_Bridge1_Board2_Group3_Channel5,,
642,outer,Quartz,DRS_Board5_Group4_Channel6,,27,108,4,5,,DRS_Bridge1_Board2_Group3_Channel6,,
641,outer,Quartz,DRS_Board5_Group4_Channel7,,28,108,4,5,,DRS_Bridge1_Board2_Group3_Channel7,,
260,outer,Quartz,DRS_Board6_Group1_Channel0,,33,114,11,14,,DRS_Bridge1_Board3_Group0_Channel0,,
259,outer,Quartz,DRS_Board6_Group1_Channel1,,34,114,11,14,,DRS_Bridge1_Board3_Group0_Channel1,,
258,outer,Quartz,DRS_Board6_Group1_Channel2,,35,114,11,14,,DRS_Bridge1_Board3_Group0_Channel2,,
257,outer,Quartz,DRS_Board6_Group1_Channel3,,36,114,11,14,,DRS_Bridge1_Board3_Group0_Channel3,,
316,outer,Quartz,DRS_Board6_Group1_Channel4,,41,114,11,14,,DRS_Bridge1_Board3_Group0_Channel4,,
315,outer,Quartz,DRS_Board6_Group1_Channel5,,42,114,11,14,,DRS_Bridge1_Board3_Group0_Channel5,,
314,outer,Quartz,DRS_Board6_Group1_Channel6,,43,114,11,14,,DRS_Bridge1_Board3_Group0_Channel6,,
313,outer,Quartz,DRS_Board6_Group1_Channel7,,44,114,11,14,,DRS_Bridge1_Board3_Group0_Channel7,,
373,outer,Quartz,DRS_Board6_Group2_Channel0,,49,114,11,14,,DRS_Bridge1_Board3_Group1_Channel0,,
372,outer,Quartz,DRS_Board6_Group2_Channel1,,50,114,11,14,,DRS_Bridge1_Board3_Group1_Channel1,,
371,outer,Quartz,DRS_Board6_Group2_Channel2,,51,114,11,14,,DRS_Bridge1_Board3_Group1_Channel2,,
370,outer,Quartz,DRS_Board6_Group2_Channel3,,52,114,11,14,,DRS_Bridge1_Board3_Group1_Channel3,,
425,outer,Quartz,DRS_Board6_Group2_Channel4,,57,114,11,14,,DRS_Bridge1_Board3_Group1_Channel4,,
424,outer,Quartz,DRS_Board6_Group2_Channel5,,58,114,11,14,,DRS_Bridge1_Board3_Group1_Channel5,,
423,outer,Quartz,DRS_Board6_Group2_Channel6,,59,114,11,14,,DRS_Bridge1_Board3_Group1_Channel6,,
422,outer,Quartz,DRS_Board6_Group2_Channel7,,60,114,11,14,,DRS_Bridge1_Board3_Group1_Channel7,,
477,outer,Quartz,DRS_Board6_Group3_Channel0,,1,110,2,3,,DRS_Bridge1_Board3_Group2_Channel0,,
476,outer,Quartz,DRS_Board6_Group3_Channel1,,2,110,2,3,,DRS_Bridge1_Board3_Group2_Channel1,,
475,outer,Quartz,DRS_Board6_Group3_Channel2,,3,110,2,3,,DRS_Bridge1_Board3_Group2_Channel2,,
474,outer,Quartz,DRS_Board6_Group3_Channel3,,4,110,2,3,,DRS_Bridge1_Board3_Group2_Channel3,,
529,outer,Quartz,DRS_Board6_Group3_Channel4,,9,110,2,3,,DRS_Bridge1_Board3_Group2_Channel4,,
528,outer,Quartz,DRS_Board6_Group3_Channel5,,10,110,2,3,,DRS_Bridge1_Board3_Group2_Channel5,,
527,outer,Quartz,DRS_Board6_Group3_Channel6,,11,110,2,3,,DRS_Bridge1_Board3_Group2_Channel6,,
526,outer,Quartz,DRS_Board6_Group3_Channel7,,12,110,2,3,,DRS_Bridge1_Board3_Group2_Channel7,,
580,outer,Quartz,DRS_Board6_Group4_Channel0,,17,110,2,3,,DRS_Bridge1_Board3_Group3_Channel0,,
